"name","category","color","経度","緯度"
"あさぎり町上村白髪神社","religious_organization","white","130.9333535","32.2603283"
"上高地ホテル白樺荘 Hotel SHIRAKABASO KAMIKOCHI","hotel","white","137.6375356","36.2492516"
"白滝フラワーライン展望台","landmark_and_historical_building","white","133.162557","34.353267"
"白石车站","train_station","white","141.396328","43.046203"
"NTワークス白岡センター",,"white","139.6575076","36.0453878"
"白木屋御影南口駅前店","sake_bar","white","135.256491","34.714549"
"SMART GOLF Garden 白金台店","driving_range","white","139.7281256","35.6393444"
"白山国立公園市ノ瀬ビジターセンター","mountain","white","136.7007391","36.1143239"
"ドコモショップ 北野白梅町店","mobile_phone_store","white","135.731235","35.028741"
"白髪山","mountain","white","133.5912897","33.7573404"
"焼鳥白鶴","japanese_restaurant","white","130.554789","31.588493"
"美濃白鳥駅","train_station","white","136.86055","35.884948"
"白樺","restaurant","white","137.272768","37.444754"
"鶏白湯ラーメン専門店mutsuki","noodles_restaurant","white","135.236857","34.714628"
"セブンイレブン 白河関辺店","convenience_store","white","140.239379","37.098951"
"白河天皇成菩提院陵","religious_organization","white","135.751713","34.951814"
"白石公園","park","white","141.389507","43.061847"
"白い絵本","coffee_shop","white","135.6165834","34.5793248"
"焼肉なべしま 和白店","japanese_restaurant","white","130.432817","33.690613"
"サイエンスホーム浜松白羽店","accommodation","white","137.7367651","34.6781467"
"目白おかの内科","internal_medicine","white","139.707105","35.723044"
"Hakuba47&白馬五竜","ski_resort","white","137.8364244","36.6629829"
"白雲荘","hotel","white","140.703841","42.86166"
"白鳥神社","religious_organization","white","131.232396","33.173392"
"トヨタカローラ埼玉白岡店","car_dealer","white","139.652669","36.020671"
"白糠高校","school","white","144.061062","42.958847"
"阿蘇白川駅","train_station","white","131.084358","32.822334"
"神戸白十字伊川谷店","candy_store","white","135.005283","34.671409"
"白扇旅館","hotel","white","140.117447","35.615251"
"白幡天神社","landmark_and_historical_building","white","139.926773","35.72884"
"介護老人保健施設白馬メディア","education","white","137.846202","36.663993"
"買取福ちゃん さいたま白岡店",,"white","139.6557711","36.0239632"
"白河市立/五箇幼稚園","school","white","140.2109985","37.1263695"
"生駒白水山　八大龍王総本山　龍光寺","mountain","white","135.678015","34.6782446"
"白馬舘","bartender","white","137.214739","36.699232"
"すき家 153号天白植田西店",,"white","136.9818978","35.1314606"
"カット＆白髪染め専門店 Mr.Sugar","beauty_salon","white","139.8048769","35.7084264"
"白井建材株式会社","building_supply_store","white","135.3920746","34.7709124"
"南房総市立白浜中学校","school","white","139.8680207","34.9103265"
"和田野の森in白馬","hotel","white","137.8288046","36.7140965"
"白井自動車整備工場","automotive_repair","white","141.539734","43.103082"
"白河市創業者支援施設 らくり","community_services_non_profits","white","140.2122856","37.1277766"
"宮島石油販売株式会社 ルート8白根ステーション","gas_station","white","139.011314","37.733172"
"民謡白浜音頭発祥の地","topic_concert_venue","white","139.893155","34.906352"
"白十字笹沖店","desserts","white","133.777479","34.574165"
"白浜の宿 醍醐","hotel","white","135.3463189","33.6825306"
"Cachette（北白川店）","cafe","white","135.7919088","35.0396245"
"白州キララの学校","event_planning","white","138.3227428","35.7891769"
"らーめん 熱田鶏白湯 鶏神","chicken_restaurant","white","136.9068414","34.9776425"
"白山温泉郷　一里野温泉","spas","white","136.633","36.4333"
"個別指導学院フリーステップ 北野白梅町教室",,"white","135.731394","35.023975"
"KKR 蔵王白銀荘 FB公式ページ","hotel","white","140.3950074","38.1653071"
"白木屋八王子北口駅前店","bar","white","139.338497","35.656388"
"白州小学校","elementary_school","white","138.3319351","35.8104486"
"なごみ白木屋稚内店","bar","white","141.682487","45.39989"
"バーベキュー白樺","barbecue_restaurant","white","140.318836","38.195119"
"伊豆下田白浜・ペンション星の砂","hotel","white","138.9710999","34.6953468"
"白鷺山公園","mountain","white","134.539175","34.865704"
"東横イン新白河駅前","hotel","white","140.186726","37.123083"
"ラブリークリーニング白山店","laundromat","white","139.559764","35.508073"
"白石工業土佐工場","chemical_plant","white","133.2914698","33.4819629"
"天狗寺　陶白人の作品集","museum","white","134.0367314","35.1641219"
"白山神社","religious_organization","white","139.511726","35.589085"
"らーめん 御器所鶏白湯鶏神","chicken_restaurant","white","136.9365995","35.14951"
"白熊","japanese_restaurant","white","135.3469161","33.6828611"
"Honda Cars 福島白河金勝寺店","car_dealer","white","140.209569","37.138074"
"タッセルホテル 三条白川","hotel","white","135.780773","35.009442"
"空想酒舗居眠白猫亭","tea_room","white","140.463382","36.377243"
"白尾園養魚場",,"white","136.941847","35.888601"
"カレーショップコロンボ 白鳥湾展望台店","japanese_restaurant","white","140.930317","42.369463"
"白水鉱泉","travel_company","white","131.3137778","33.1184167"
"ワークマン白井店","clothing_store","white","140.040848","35.776561"
"白木屋新潟駅前店","bar","white","139.062118","37.913238"
"イオン白子店","shopping_center","white","136.5911964","34.8361574"
"白旗小学校","elementary_school","white","130.7777976","32.7044058"
"すしべん 白尾インター店","sushi_restaurant","white","136.691829","36.715957"
"白きつね親水広場","park","white","137.727897","34.827111"
"バーミヤン 浜松白羽店","chinese_restaurant","white","137.740093","34.678777"
"白菊湯","spas","white","129.88509","32.753408"
"ファミリーマート 目白南店","convenience_store","white","139.7057695","35.7174119"
"白梅保育園","day_care_preschool","white","139.757543","36.147738"
"白川湖の水没林","lake","white","139.906571","37.931979"
"てじ韓天白店","korean_restaurant","white","136.985964","35.12095"
"白岡町B&G海洋センター","swimming_pool","white","139.679451","36.016275"
"白頭山駅前店","korean_restaurant","white","130.881028","33.88652"
"豊島区目白","landmark_and_historical_building","white","139.7058025","35.7221036"
"目白博物館ビル","real_estate","white","139.70568","35.717966"
"白樺回廊","attractions_and_activities","white","142.4907982","43.5295246"
"南伊豆　白浜 神子元　Dragon　Lady　","active_life","white","138.9718354","34.6873987"
"デニーズ 白河昭和町店","restaurant","white","140.199501","37.12977"
"水辺のホテル 小さな白い花","hotel","white","135.0425172","35.6933319"
"旬彩白おじ","restaurant","white","135.550158","34.791906"
"スモークハウス白南風","shopping","white","132.687631","35.384733"
"白羽神社","buddhist_temple","white","134.131353","34.345798"
"日本同盟基督教団　白百合福音教会","church_cathedral","white","139.51787","35.40944"
"たこの助白子店","bar","white","136.586911","34.836435"
"呉市立白岳中学校","school","white","132.632729","34.230664"
"白糸の滝ドライブイン","theme_restaurant","white","140.0555164","38.7649112"
"白山愛宕山古墳","landmark_and_historical_building","white","139.4806114","36.1306655"
"白椿","cafe","white","132.569896","32.959606"
"伊勢崎 白龍神社","public_service_and_government","white","139.2410091","36.3354015"
"地雷也紅白茶寮","coffee_shop","white","136.293891","34.914447"
"セブン銀行ATM セブン-イレブン 福岡白木原店 共同出張所",,"white","130.480149","33.528054"
"道の駅 飛騨白山","public_service_and_government","white","136.6792603","35.4312859"
"白土海水浴場","beach","white","131.320095","33.95493"
"白壁Hanaco","coffee_shop","white","136.9194082","35.1846429"
"湯畑白旗の湯前","transportation","white","138.596405","36.622589"
"西白井学習塾　トワードアカデミー","tutoring_center","white","140.0333353","35.7853636"
"ジンギスカン 白樺","japanese_restaurant","white","143.083707","42.745459"
"白川郷高速バスターミナル","transportation","white","136.9063797","36.2621974"
"ヤックスドラッグ白子薬局",,"white","140.3783264","35.4481506"
"白山自動車","car_dealer","white","139.566294","35.782011"
"ファーム白石","farm","white","140.8704024","37.1038586"
"白石本通郵便局","post_office","white","141.4244741","43.0409424"
"にしむら接骨院和白院","japanese_restaurant","white","132.890625","34.8859309"
"ドルチェモスカート 茨木白川店","italian_restaurant","white","135.600646","34.814435"
"東京都立白鴎高等学校附属中学校","high_school","white","139.787763","35.7073"
"イーネットATM ファミリーマート春日井白山 共同出張所",,"white","137.027666","35.271614"
"そば処黒白","japanese_restaurant","white","138.330827","35.809813"
"白鳥山","mountain","white","132.794445","34.424613"
"白馬スキージャンプ台","ski_resort","white","138.1862784","36.6470496"
"白洋舎クリーニング 西大寺店","laundromat","white","135.781642","34.694799"
"ラーメン白龍","japanese_restaurant","white","131.7465065","33.2334794"
"TAYA blue label トレアージュ白旗藤沢本町店","beauty_salon","white","139.479441","35.349226"
"若松整骨院　太白区院（旧とみざわ姿勢矯正専門院）","health_and_medical","white","139.1695328","36.2598544"
"トヨタカローラ室蘭白老店","car_dealer","white","141.327249","42.533913"
"松江市白潟社会実験","community_center","white","133.0552469","35.467207"
"白木屋谷町四丁目駅前店","sake_bar","white","135.517632","34.680573"
"村岡総本舗白石店",,"white","130.1408915","33.1845514"
"天理よろづ相談所病院白川分院","hospital","white","135.856593","34.618641"
"白滝山五百羅漢","mountain","white","133.157742","34.345149"
"グランドメゾン白金・三光坂","landmark_and_historical_building","white","139.7317681","35.6435505"
"ジャガー・ランドローバー 天白","automotive_parts_and_accessories","white","136.9879031","35.1388986"
"白楽腎クリニック","health_and_medical","white","139.627105","35.485671"
"かよちゃんち【旧：桂皮茶房】（東白川村）","spas","white","137.3554986","35.6690336"
"東京都港区白金台いきいきプラザ",,"white","139.7251858","35.6371447"
"白鳥","bed_and_breakfast","white","136.038139","35.490985"
"三重県津市白山町","accommodation","white","136.5590834","34.4931079"
"ネイルサロンan白石店","beauty_salon","white","141.4126867","43.0410867"
"白金餃子センター",,"white","130.405423","33.580027"
"半田市指定天然記念物　萬三の白モッコウバラ祭","landmark_and_historical_building","white","136.9341788","34.8943804"
"西白庭台 やまのたに公園","park","white","135.705472","34.727284"
"松屋 白鳥PA下り線店",,"white","134.6340027","34.8876991"
"三鷹 白うさぎ治療院","acupuncture","white","139.5596927","35.7049416"
"新潟県立白根高等学校","high_school","white","139.028583","37.765167"
"大阪王将白山店","restaurant","white","139.756467","35.720334"
"白鷺小学校","elementary_school","white","134.688821","34.835662"
"白神岳登山口駅","train_station","white","139.950352","40.513511"
"大宮白百合幼稚園","preschool","white","139.622771","35.937664"
"白い恋人ソフトクリーム","ice_cream_shop","white","141.681011","42.787459"
"福島県立白河高等学校","high_school","white","140.200153","37.124667"
"白水歯科医院","dentist","white","130.455914","33.532133"
"白根不動交差点","transportation","white","139.552181","35.478967"
"社会福祉法人 東白川福祉会","community_services_non_profits","white","140.84198","37.9345515"
"春日市下白水北公民館","community_center","white","130.442971","33.527341"
"福岡市公民館和白公民館","community_center","white","130.429263","33.69081"
"白子町立白子中学校","high_school","white","140.3744692","35.4445166"
"白河バプテスト教会","religious_organization","white","140.2223656","37.1298286"
"白濤海水浴場","diving_center","white","130.429842","32.613399"
"北白川ちせ","shopping","white","135.7913259","35.0308189"
"白岡公園","park","white","139.651467","36.019863"
"八戸市白浜海水浴場","beach","white","141.590169","40.518892"
"餃子の王将白川台店","chinese_restaurant","white","135.107699","34.690082"
"白山神社","church_cathedral","white","136.951381","35.196328"
"神戸白十字飾磨店","desserts","white","134.656341","34.810597"
"白河ゴルフ倶楽部","golf_course","white","140.15574","37.215953"
"白岩岬公園キャンプ場","campground","white","132.5380383","32.7287333"
"諸白小路バス停","transportation","white","139.153403","35.24709"
"ローソン　鹿屋白崎町店","convenience_store","white","130.855977","31.3794859"
"白金台医進予備校シナプス","school","white","139.7221792","35.6359838"
"イーグルショップ白河西郷店　有限会社ケーズコーポレーション","automotive_repair","white","140.1719427","37.1711405"
"白馬大雪渓","mountain","white","137.8436363","36.6608948"
"白石屋","asian_restaurant","white","130.139063","33.185882"
"京都北白川ラーメン魁力屋 蕨店",,"white","139.672953","35.831696"
"白浜渡船","active_life","white","139.9036535","34.9055139"
"坂出市立白峰中学校","middle_school","white","133.900361","34.325611"
"ココス 白岡店","restaurant","white","139.653296","36.019665"
"実戦カラテ白蓮会館","martial_arts_club","white","127.749485","26.280216"
"やきとり道場清澄白河店","japanese_restaurant","white","139.799019","35.681875"
"日本メノナイト白石キリスト教会","church_cathedral","white","141.4232605","43.0479666"
"白秋詩碑","monument","white","139.62518","35.133382"
"白河高校","transportation","white","140.200006","37.1256"
"さくら薬局白井店","pharmacy","white","140.053941","35.791322"
"警視庁白バイ訓練所","mountain_bike_trails","white","139.78201","35.581033"
"白石東地区センター","community_center","white","141.431814","43.034662"
"白百合幼稚園","day_care_preschool","white","131.625421","33.41672"
"山形大学小白川キャンパス国際センター","college_university","white","140.3502989","38.2471289"
"貝と白ワインのバル KAKIMARU 綾小路店","wine_bar","white","135.762714","35.005045"
"白百合保育園","day_care_preschool","white","140.098651","39.730896"
